MC1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.75603622,0.845024759,0.733493808
2,0.472268163,0.824263359,0.75491606
3,0.483762077,0.816880193,0.745529992
4,0.530914265,0.837763325,0.758240185
5,0.571687431,0.825210951,0.740830549
6,0.582479516,0.827633927,0.80207077
7,0.60434283,0.836698041,0.824457862
8,0.609006525,0.854339871,0.816963275
9,0.573564099,0.861899002,0.786330444
10,0.619850906,0.85420101,0.806245829
11,0.807547536,0.91464463,0.820819954
12,0.791516383,0.913733838,0.837799381
13,0.809561897,0.915533734,0.821289027
14,0.756822065,0.92107923,0.844591569
15,0.784976566,0.917035079,0.83014219
16,0.779979627,0.919942295,0.839833556
17,0.742935009,0.917765921,0.847991376
18,0.770453502,0.921333774,0.838670089
19,0.787319767,0.925394987,0.845374351
20,0.75030746,0.923713575,0.827698401
21,0.778370927,0.926135217,0.845140857
22,0.77691461,0.925469403,0.835292528
23,0.791948983,0.926856158,0.833019344
24,0.779334457,0.926572462,0.836984263
25,0.785959703,0.923130871,0.817628141
26,0.766288518,0.922740997,0.8325816
27,0.796792819,0.924014665,0.802957622
28,0.769382106,0.923653106,0.8015788
29,0.789767691,0.92390428,0.800698906
30,0.769349161,0.918846838,0.814217074
31,0.777588242,0.919661698,0.806981526
32,0.769504751,0.920229435,0.813257662
33,0.779489285,0.916454832,0.808163102
34,0.774974661,0.916481633,0.805910434
35,0.792772464,0.916005933,0.801387704
36,0.759705034,0.915111336,0.80223119
37,0.743802436,0.915445767,0.812332935
38,0.872484899,0.920727865,0.815626559
,0.75603622,0.845024759,0.758240185
,0.872484899,0.926856158,0.847991376
