PC1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.534443274,0.596660476,0.539078289
2,0.494466365,0.592840534,0.538328292
3,0.545597135,0.574672183,0.560416709
4,0.505389142,0.57059818,0.597198909
5,0.5278289,0.59367489,0.593382277
6,0.634147856,0.626603845,0.564965583
7,0.621240519,0.621846304,0.565281226
8,0.615395045,0.684900331,0.59184844
9,0.657891339,0.662052012,0.602398635
10,0.679351616,0.671851705,0.58418971
11,0.710017009,0.650744005,0.575206788
12,0.715427619,0.646316511,0.60245935
13,0.722266657,0.640248681,0.613898028
14,0.705511493,0.633623268,0.60587883
15,0.72574837,0.66515212,0.5936676
16,0.75271724,0.712464161,0.608021076
17,0.767183254,0.710535185,0.611454878
18,0.804749513,0.715016244,0.616167301
19,0.786912871,0.709371253,0.610307737
20,0.787735613,0.697468769,0.62026653
21,0.809284669,0.708012303,0.609538212
22,0.807687432,0.705532547,0.608292453
23,0.791642914,0.698577971,0.6149784
24,0.802488109,0.696666333,0.611270676
25,0.779708935,0.704868995,0.624499013
26,0.781531469,0.696057635,0.618561677
27,0.784577308,0.713205295,0.620586293
28,0.764155253,0.694486968,0.631114788
29,0.779014037,0.706223007,0.624434831
30,0.78687298,0.713197754,0.605765437
31,0.81317161,0.704442166,0.625832418
32,0.808104576,0.708247889,0.605156389
33,0.807218949,0.700732057,0.6354149
34,0.815199647,0.707331972,0.627897812
35,0.795922258,0.75850769,0.615668153
36,0.806917745,0.775940122,0.625099849
37,0.807123777,0.785531548,0.609550964
,0.545597135,0.596660476,0.597198909
,0.815199647,0.785531548,0.6354149
